N,P,K,temperature,humidity,ph,rainfall,label
36,30,33,36.84,47.88,6.94,92.79,mango
5,11,9,26.85,90.31,6.42,116.18,orange
91,25,33,23.07,62.99,7.0,189.93,coffee
75,51,39,25.59,71.23,7.22,197.03,jute
39,29,29,28.64,93.46,6.17,214.43,coconut
39,72,77,17.77,14.25,6.34,74.75,chickpea
11,57,15,19.62,69.63,6.55,73.8,lentil
21,50,21,24.73,61.94,5.09,38.89,mothbeans
31,56,47,24.04,93.62,6.56,167.75,papaya
97,46,25,25.71,63.53,5.94,79.25,maize
3,50,18,28.97,41.14,8.73,64.2,mothbeans
63,47,41,26.31,85.67,6.42,197.04,jute
7,9,33,25.21,94.19,5.67,220.35,coconut
78,36,43,26.31,81.76,6.53,189.99,jute
19,61,17,16.31,19.71,5.59,104.84,kidneybeans
10,79,21,27.87,61.33,6.86,72.3,lentil
21,124,196,20.08,90.83,6.39,106.04,apple
133,45,17,25.69,78.6,7.34,70.83,cotton
27,46,24,27.89,86.93,6.84,63.62,mungbean
99,17,51,24.44,88.11,6.64,45.82,watermelon
86,6,53,26.94,87.93,6.85,43.63,watermelon
22,11,30,28.66,99.58,5.72,220.89,coconut
57,57,24,28.52,61.01,6.73,71.42,blackgram
83,36,41,21.19,80.26,6.92,295.88,rice
122,39,18,25.32,84.65,6.1,95.62,cotton
32,13,27,25.42,94.67,5.98,217.27,coconut
29,62,23,16.31,19.94,5.71,85.38,kidneybeans
108,19,51,25.07,87.88,6.25,48.46,watermelon
34,28,6,19.64,90.36,6.42,104.59,orange
70,44,23,18.12,56.16,5.57,62.04,maize
71,41,25,21.14,63.92,6.45,99.74,maize
7,39,15,30.68,86.64,6.47,61.1,mungbean
18,69,18,28.53,56.06,6.57,112.71,pigeonpeas
69,37,44,26.3,82.53,6.01,221.91,rice
123,57,18,24.34,81.19,6.82,77.1,cotton
55,71,20,28.24,63.33,7.0,89.85,blackgram
2,26,11,24.08,93.12,7.73,111.74,orange
38,130,199,23.56,80.84,5.87,68.7,grapes
14,36,35,22.65,94.63,6.56,109.37,pomegranate
104,20,53,25.18,85.91,6.66,41.18,watermelon
96,19,46,25.1,82.25,6.2,42.11,watermelon
14,6,5,20.58,90.42,7.21,117.62,orange
33,62,21,27.04,56.55,6.84,170.58,pigeonpeas
23,73,76,20.29,18.24,6.16,67.97,chickpea
3,129,203,21.73,94.99,6.06,108.03,apple
22,77,15,19.62,38.32,4.57,109.96,pigeonpeas
109,30,30,23.67,55.23,6.63,179.96,coffee
40,68,50,32.79,93.8,6.58,142.33,papaya
35,57,83,19.23,16.55,7.81,68.89,chickpea
61,38,35,24.45,81.26,6.26,288.91,rice
24,48,17,25.41,45.51,4.62,58.39,mothbeans
96,43,19,18.75,60.78,5.55,83.28,maize
39,21,13,27.88,92.97,6.11,109.1,orange
2,138,199,35.95,83.4,5.71,71.57,grapes
33,37,24,29.74,88.17,6.45,56.09,mungbean
58,55,17,25.08,66.47,7.35,71.09,blackgram
98,45,25,25.24,56.96,5.6,65.04,maize
6,15,29,29.95,49.86,6.37,85.87,mango
31,12,38,19.15,88.3,6.76,105.19,pomegranate
15,58,20,23.45,68.44,6.1,57.09,lentil
14,123,197,22.08,93.04,5.75,101.44,apple
21,129,199,23.31,93.95,5.81,122.84,apple
91,20,33,27.55,57.4,7.13,194.85,coffee
23,59,20,18.11,62.47,6.73,74.71,lentil
32,50,24,28.03,81.12,6.27,41.43,mungbean
16,44,18,29.79,52.4,3.99,41.61,mothbeans
37,28,31,28.15,94.03,6.25,192.5,coconut
85,12,52,24.74,86.41,6.67,42.44,watermelon
7,125,204,23.0,94.54,6.26,114.93,apple
37,65,23,18.07,20.26,5.73,75.07,kidneybeans
35,28,29,25.25,90.39,6.07,181.43,coconut
18,127,198,10.23,80.91,5.75,69.84,grapes
94,50,42,20.14,83.88,6.75,205.48,rice
65,57,45,23.71,84.44,6.06,170.27,jute
26,22,26,29.69,91.81,6.12,167.81,coconut
48,60,76,17.06,16.1,7.18,78.73,chickpea
1,43,22,28.01,86.73,6.97,42.35,mungbean
86,39,24,25.63,64.15,6.06,60.77,maize
11,17,6,21.49,91.53,7.64,101.14,orange
106,8,53,28.66,91.98,6.13,24.33,muskmelon
33,137,196,21.16,91.55,5.75,112.88,apple
2,117,199,18.04,80.93,5.78,73.03,grapes
21,62,19,15.14,19.93,5.61,76.37,kidneybeans
17,32,28,30.06,52.89,6.17,100.97,mango
7,11,25,29.17,99.75,5.64,168.52,coconut
39,25,25,27.31,48.88,5.74,85.47,mango
15,70,23,20.1,65.03,6.4,45.12,lentil
88,54,41,25.4,81.98,6.28,231.3,rice
117,78,54,26.46,84.11,6.75,114.15,banana
94,40,36,26.85,72.16,6.72,179.28,jute
12,138,200,19.84,81.49,5.5,68.0,grapes
35,40,39,21.14,92.22,6.89,105.93,pomegranate
13,54,17,30.54,60.8,6.54,35.19,mothbeans
119,31,34,24.52,65.64,7.15,184.58,coffee
2,22,8,32.45,94.44,6.65,118.02,orange
103,39,27,25.36,51.83,6.94,177.53,coffee
39,16,8,29.96,91.63,6.6,104.65,orange
13,63,20,23.27,61.06,6.64,47.56,lentil
1,20,25,28.94,93.06,5.54,197.07,coconut
12,19,29,25.8,91.71,5.92,210.58,coconut
9,59,18,27.91,87.9,6.66,52.45,mungbean
30,140,200,20.56,93.36,6.12,118.56,apple
43,58,53,43.78,94.45,6.69,80.98,papaya
76,35,24,18.73,58.19,6.93,107.53,maize
32,139,200,20.27,93.83,6.08,119.55,apple
38,15,33,26.33,99.9,5.53,198.28,coconut
5,63,22,23.71,63.76,6.39,56.08,lentil
80,36,38,26.36,80.96,5.72,238.73,rice
116,90,51,25.55,79.47,6.46,115.94,banana
28,126,196,20.66,90.01,6.22,118.31,apple
36,59,24,30.48,56.38,6.81,37.61,mothbeans
22,26,42,23.63,87.7,6.83,104.98,pomegranate
27,37,15,28.29,84.63,6.87,58.18,mungbean
21,135,198,34.32,83.09,6.02,74.76,grapes
101,17,52,24.45,88.76,6.54,44.24,watermelon
24,28,14,18.55,92.64,6.42,119.91,orange
3,25,28,33.77,51.06,6.05,89.36,mango
86,80,50,28.74,81.51,6.62,100.57,banana
30,62,21,25.78,52.08,5.59,122.39,pigeonpeas
21,58,21,17.02,21.49,5.58,84.06,kidneybeans
0,130,195,17.39,82.83,5.56,73.39,grapes
48,56,83,19.51,14.49,7.75,97.23,chickpea
34,139,199,22.44,90.8,6.17,104.48,apple
20,37,30,34.02,54.93,5.7,90.49,mango
35,77,20,29.79,60.26,6.51,74.5,blackgram
17,120,203,20.28,92.37,6.06,115.71,apple
40,68,21,19.27,60.0,5.02,188.79,pigeonpeas
77,50,36,26.76,85.1,6.88,191.42,jute
98,41,40,22.11,81.14,5.56,253.15,rice
23,79,85,19.79,17.22,6.62,93.48,chickpea
34,68,17,21.3,20.3,5.77,105.32,kidneybeans
4,19,43,19.43,90.55,6.73,106.16,pomegranate
101,11,48,28.19,91.32,6.21,22.42,muskmelon
24,78,23,21.76,18.75,5.87,106.92,kidneybeans
